"region","Befolkning per 1.1. (personer)","Innbyggere per km² landareal","Landareal (km²)"
"Aarborte - Hattfjelldal",1267,1,2411
"Agdenes (-2017)",0,0,0
"Agdenes (2018-2019)",0,0,0
"Agder",308843,21,14981
"Akershus",0,0,0
"Akershus (-2019)",0,0,0
"Alstahaug",7394,40,187
"Alta",0,0,0
"Alta (-2019)",0,0,0
"Alta (2020-2023)",20847,6,3653
"Alvdal",2405,3,919
"Alvdal (-2019)",0,0,0
"Alver",29337,45,651
"Andebu (-2016)",0,0,0
"Andøy",4588,7,617
"Ankenes (-1973)",0,0,0
"Aremark",0,0,0
"Aremark (-2019)",0,0,0
"Aremark (2020-2023)",1325,5,282
"Arendal",45065,177,255
"Arendal (-1991)",0,0,0
"Arendal (1992-2019)",0,0,0
"Arna (1964-1971)",0,0,0
"Asker",0,0,0
"Asker (-2019)",0,0,0
"Asker (2020-2023)",94915,261,364
"Askim (-2019)",0,0,0
"Askvoll",2991,10,313
"Askvoll (-2019)",0,0,0
"Askøy",29594,315,94
"Askøy (-2019)",0,0,0
"Audnedal (1964-2019)",0,0,0
"Aukra",3522,58,61
"Aure",3468,6,622
"Aure (-2005)",0,0,0
"Aurland",1777,1,1376
"Aurland (-2019)",0,0,0
"Aurskog-Høland",0,0,0
"Aurskog-Høland (1966-2019)",0,0,0
"Aurskog-Høland (2020-2023)",17591,17,1053
"Aust-Agder (-2019)",0,0,0
"Austevoll",5276,46,114
"Austevoll (-2019)",0,0,0
"Austrheim",2860,50,57
"Austrheim (1910-2019)",0,0,0
"Averøy",5808,34,173
"Balestrand (-2019)",0,0,0
"Ballangen (1925-2019)",0,0,0
"Balsfjord",0,0,0
"Balsfjord (-2019)",0,0,0
"Balsfjord (2020-2023)",5559,4,1440
"Bamble",0,0,0
"Bamble (-2019)",0,0,0
"Bamble (2020-2023)",14014,50,282
"Bardu",0,0,0
"Bardu (-2019)",0,0,0
"Bardu (2020-2023)",3959,2,2514
"Beiarn",999,1,1179
"Berg  (-1966)",0,0,0
"Berg (-2019)",0,0,0
"Bergen",285601,642,445
"Bergen (-1971)",0,0,0
"Bergen (1972-2019)",0,0,0
"Berlevåg",0,0,0
"Berlevåg (1914-2019)",0,0,0
"Berlevåg (2020-2023)",928,1,1083
"Bindal",1397,1,1192
"Birkenes",5274,9,596
"Birkenes (-2019)",0,0,0
"Bjarkøy (-2012)",0,0,0
"Bjerkreim",2791,5,577
"Bjugn (-2017)",0,0,0
"Bjugn (2018-2019)",0,0,0
"Bjørnafjorden",25049,51,487
"Bjørnøya naturreservat",0,0,0
"Bodin (-1967)",0,0,0
"Bodø",52560,40,1311
"Bokn",859,19,45
"Borge (-1993)",0,0,0
"Borre (-1987)",0,0,0
"Bremanger",3597,5,786
"Bremanger (-2019)",0,0,0
"Brunlanes (-1987)",0,0,0
"Brønnøy",7803,8,999
"Brønnøy (-1976)",0,0,0
"Buskerud",0,0,0
"Buskerud (-2019)",0,0,0
"Bygland",1142,1,1150
"Bygland (-2019)",0,0,0
