"region","median_inntekt"
"Hele landet",566000
"Østfold",NA
"Halden",NA
"Moss",NA
"Sarpsborg",NA
"Fredrikstad",NA
"Hvaler",NA
"Råde",NA
"Våler (Østfold)",NA
"Skiptvet",NA
"Indre Østfold",NA
"Rakkestad",NA
"Marker",NA
"Aremark",NA
"Akershus",NA
"Bærum",NA
"Asker",NA
"Lillestrøm",NA
"Nordre Follo",NA
"Ullensaker",NA
"Nesodden",NA
"Frogn",NA
"Vestby",NA
"Ås",NA
"Enebakk",NA
"Lørenskog",NA
"Rælingen",NA
"Aurskog-Høland",NA
"Nes",NA
"Gjerdrum",NA
"Nittedal",NA
"Lunner",NA
"Jevnaker",NA
"Nannestad",NA
"Eidsvoll",NA
"Hurdal",NA
"Viken (2020-2023)",595000
"Østfold (-2019)",NA
"Halden (2020-2023)",517000
"Moss (2020-2023)",537000
"Sarpsborg (2020-2023)",533000
"Fredrikstad (2020-2023)",541000
"Drammen (2020-2023)",551000
"Kongsberg (2020-2023)",582000
"Ringerike (2020-2023)",529000
"Hvaler (2020-2023)",610000
"Aremark (2020-2023)",555000
"Marker (2020-2023)",525000
"Indre Østfold (2020-2023)",548000
"Skiptvet (2020-2023)",576000
"Rakkestad (2020-2023)",549000
"Råde (2020-2023)",622000
"Våler (Viken) (2020-2023)",650000
"Vestby (2020-2023)",661000
"Nordre Follo (2020-2023)",689000
"Ås (2020-2023)",604000
"Frogn (2020-2023)",650000
"Nesodden (2020-2023)",670000
"Bærum (2020-2023)",704000
"Asker (2020-2023)",692000
"Aurskog-Høland (2020-2023)",562000
"Rælingen (2020-2023)",626000
"Enebakk (2020-2023)",631000
"Lørenskog (2020-2023)",599000
"Lillestrøm (2020-2023)",615000
"Nittedal (2020-2023)",687000
"Gjerdrum (2020-2023)",681000
"Ullensaker (2020-2023)",575000
"Nes (2020-2023)",607000
"Eidsvoll (2020-2023)",582000
"Nannestad (2020-2023)",606000
"Hurdal (2020-2023)",530000
"Hole (2020-2023)",649000
"Flå (2020-2023)",487000
"Nesbyen (2020-2023)",537000
"Gol (2020-2023)",501000
"Hemsedal (2020-2023)",531000
"Ål (2020-2023)",546000
"Hol (2020-2023)",539000
"Sigdal (2020-2023)",532000
"Krødsherad (2020-2023)",509000
"Modum (2020-2023)",535000
"Øvre Eiker (2020-2023)",576000
"Lier (2020-2023)",643000
"Flesberg (2020-2023)",592000
"Rollag (2020-2023)",516000
"Nore og Uvdal (2020-2023)",517000
"Jevnaker (2020-2023)",566000
"Lunner (2020-2023)",606000
"Halden (-2019)",NA
"Sarpsborg (-1991)",NA
"Fredrikstad (-1993)",NA
"Moss (-2019)",NA
"Sarpsborg (1992-2019)",NA
"Fredrikstad (1994-2019)",NA
"Hvaler (-2019)",NA
"Borge (-1993)",NA
"Varteig (-1991)",NA
"Skjeberg (-1991)",NA
"Berg  (-1966)",NA
"Idd (-1966)",NA
"Aremark (-2019)",NA
"Marker (1964-2019)",NA
"Rømskog (-2019)",NA
"Trøgstad (-2019)",NA
"Spydeberg (-2019)",NA
"Askim (-2019)",NA
"Eidsberg (-2019)",NA
