"aar","valgtype","sted_type","sted_navn","overordnet_navn","parti_kode","parti_navn","mandater_antall","mandater_endring"
2013,"st","fylke","Østfold",NA,"A","Arbeiderpartiet",3,-1
2013,"st","fylke","Østfold",NA,"SV","Sosialistisk Venstreparti",0,0
2013,"st","fylke","Østfold",NA,"RØDT","Rødt",0,0
2013,"st","fylke","Østfold",NA,"SP","Senterpartiet",0,0
2013,"st","fylke","Østfold",NA,"KRF","Kristelig Folkeparti",1,0
2013,"st","fylke","Østfold",NA,"V","Venstre",0,0
2013,"st","fylke","Østfold",NA,"H","Høyre",3,2
2013,"st","fylke","Østfold",NA,"FRP","Fremskrittspartiet",2,-1
2013,"st","fylke","Østfold",NA,"DEMN","Demokratene i Norge",0,0
2013,"st","fylke","Østfold",NA,"KRISTNE","De Kristne",0,0
2013,"st","fylke","Østfold",NA,"KSP","Kristent Samlingsparti",0,0
2013,"st","fylke","Østfold",NA,"KYST","Kystpartiet",0,0
2013,"st","fylke","Østfold",NA,"MDG","Miljøpartiet De Grønne",0,0
2013,"st","fylke","Østfold",NA,"PIR","Piratpartiet",0,0
2013,"st","fylke","Østfold",NA,"PP","Pensjonistpartiet",0,0
2013,"st","fylke","Østfold",NA,"BLANKE","Blanke",0,0
2013,"st","fylke","Østfold",NA,"Andre","Andre",0,0
2013,"st","fylke","Østfold",NA,"Andre2","Andre2",0,0
2013,"st","fylke","Akershus",NA,"A","Arbeiderpartiet",5,0
2013,"st","fylke","Akershus",NA,"SV","Sosialistisk Venstreparti",1,0
2013,"st","fylke","Akershus",NA,"RØDT","Rødt",0,0
2013,"st","fylke","Akershus",NA,"SP","Senterpartiet",0,0
2013,"st","fylke","Akershus",NA,"KRF","Kristelig Folkeparti",0,-1
2013,"st","fylke","Akershus",NA,"V","Venstre",1,0
2013,"st","fylke","Akershus",NA,"H","Høyre",7,3
2013,"st","fylke","Akershus",NA,"FRP","Fremskrittspartiet",3,-1
2013,"st","fylke","Akershus",NA,"DEMN","Demokratene i Norge",0,0
2013,"st","fylke","Akershus",NA,"DLF","Det Liberale Folkepartiet",0,0
2013,"st","fylke","Akershus",NA,"KRISTNE","De Kristne",0,0
2013,"st","fylke","Akershus",NA,"KSP","Kristent Samlingsparti",0,0
2013,"st","fylke","Akershus",NA,"KYST","Kystpartiet",0,0
2013,"st","fylke","Akershus",NA,"MDG","Miljøpartiet De Grønne",0,0
2013,"st","fylke","Akershus",NA,"PIR","Piratpartiet",0,0
2013,"st","fylke","Akershus",NA,"PP","Pensjonistpartiet",0,0
2013,"st","fylke","Akershus",NA,"SFP","Samfunnspartiet",0,0
2013,"st","fylke","Akershus",NA,"BLANKE","Blanke",0,0
2013,"st","fylke","Akershus",NA,"Andre","Andre",0,0
2013,"st","fylke","Akershus",NA,"Andre2","Andre2",0,0
2013,"st","fylke","Oslo",NA,"A","Arbeiderpartiet",6,0
2013,"st","fylke","Oslo",NA,"SV","Sosialistisk Venstreparti",1,-1
2013,"st","fylke","Oslo",NA,"RØDT","Rødt",0,0
2013,"st","fylke","Oslo",NA,"SP","Senterpartiet",0,0
2013,"st","fylke","Oslo",NA,"KRF","Kristelig Folkeparti",1,0
2013,"st","fylke","Oslo",NA,"V","Venstre",2,1
2013,"st","fylke","Oslo",NA,"H","Høyre",6,2
2013,"st","fylke","Oslo",NA,"FRP","Fremskrittspartiet",2,-1
2013,"st","fylke","Oslo",NA,"DEMN","Demokratene i Norge",0,0
2013,"st","fylke","Oslo",NA,"DLF","Det Liberale Folkepartiet",0,0
2013,"st","fylke","Oslo",NA,"KRISTNE","De Kristne",0,0
2013,"st","fylke","Oslo",NA,"KSP","Kristent Samlingsparti",0,0
2013,"st","fylke","Oslo",NA,"KYST","Kystpartiet",0,0
2013,"st","fylke","Oslo",NA,"MDG","Miljøpartiet De Grønne",1,1
2013,"st","fylke","Oslo",NA,"NKP","Norges Kommunistiske Parti",0,0
2013,"st","fylke","Oslo",NA,"PIR","Piratpartiet",0,0
2013,"st","fylke","Oslo",NA,"PP","Pensjonistpartiet",0,0
2013,"st","fylke","Oslo",NA,"SFP","Samfunnspartiet",0,0
2013,"st","fylke","Oslo",NA,"BLANKE","Blanke",0,0
2013,"st","fylke","Oslo",NA,"Andre","Andre",1,1
2013,"st","fylke","Oslo",NA,"Andre2","Andre2",0,0
2013,"st","fylke","Hedmark",NA,"A","Arbeiderpartiet",3,-1
2013,"st","fylke","Hedmark",NA,"SV","Sosialistisk Venstreparti",1,0
2013,"st","fylke","Hedmark",NA,"RØDT","Rødt",0,0
2013,"st","fylke","Hedmark",NA,"SP","Senterpartiet",1,0
2013,"st","fylke","Hedmark",NA,"KRF","Kristelig Folkeparti",0,0
2013,"st","fylke","Hedmark",NA,"V","Venstre",0,0
2013,"st","fylke","Hedmark",NA,"H","Høyre",1,0
2013,"st","fylke","Hedmark",NA,"FRP","Fremskrittspartiet",1,0
2013,"st","fylke","Hedmark",NA,"DEMN","Demokratene i Norge",0,0
2013,"st","fylke","Hedmark",NA,"KRISTNE","De Kristne",0,0
2013,"st","fylke","Hedmark",NA,"KYST","Kystpartiet",0,0
2013,"st","fylke","Hedmark",NA,"MDG","Miljøpartiet De Grønne",0,0
2013,"st","fylke","Hedmark",NA,"PIR","Piratpartiet",0,0
2013,"st","fylke","Hedmark",NA,"PP","Pensjonistpartiet",0,0
2013,"st","fylke","Hedmark",NA,"BLANKE","Blanke",0,0
2013,"st","fylke","Hedmark",NA,"Andre","Andre",0,0
2013,"st","fylke","Hedmark",NA,"Andre2","Andre2",0,0
2013,"st","fylke","Oppland",NA,"A","Arbeiderpartiet",3,0
2013,"st","fylke","Oppland",NA,"SV","Sosialistisk Venstreparti",0,-1
2013,"st","fylke","Oppland",NA,"RØDT","Rødt",0,0
2013,"st","fylke","Oppland",NA,"SP","Senterpartiet",1,0
2013,"st","fylke","Oppland",NA,"KRF","Kristelig Folkeparti",0,0
2013,"st","fylke","Oppland",NA,"V","Venstre",1,1
2013,"st","fylke","Oppland",NA,"H","Høyre",1,0
2013,"st","fylke","Oppland",NA,"FRP","Fremskrittspartiet",1,0
2013,"st","fylke","Oppland",NA,"DEMN","Demokratene i Norge",0,0
2013,"st","fylke","Oppland",NA,"DLF","Det Liberale Folkepartiet",0,0
2013,"st","fylke","Oppland",NA,"KRISTNE","De Kristne",0,0
2013,"st","fylke","Oppland",NA,"KYST","Kystpartiet",0,0
2013,"st","fylke","Oppland",NA,"MDG","Miljøpartiet De Grønne",0,0
2013,"st","fylke","Oppland",NA,"PIR","Piratpartiet",0,0
2013,"st","fylke","Oppland",NA,"PP","Pensjonistpartiet",0,0
2013,"st","fylke","Oppland",NA,"BLANKE","Blanke",0,0
2013,"st","fylke","Oppland",NA,"Andre","Andre",0,0
2013,"st","fylke","Oppland",NA,"Andre2","Andre2",0,0
2013,"st","fylke","Buskerud",NA,"A","Arbeiderpartiet",3,-1
2013,"st","fylke","Buskerud",NA,"SV","Sosialistisk Venstreparti",0,0
2013,"st","fylke","Buskerud",NA,"RØDT","Rødt",0,0
2013,"st","fylke","Buskerud",NA,"SP","Senterpartiet",1,0
2013,"st","fylke","Buskerud",NA,"KRF","Kristelig Folkeparti",0,0
2013,"st","fylke","Buskerud",NA,"V","Venstre",0,0
2013,"st","fylke","Buskerud",NA,"H","Høyre",3,1
2013,"st","fylke","Buskerud",NA,"FRP","Fremskrittspartiet",2,0
2013,"st","fylke","Buskerud",NA,"DEMN","Demokratene i Norge",0,0
2013,"st","fylke","Buskerud",NA,"KRISTNE","De Kristne",0,0
2013,"st","fylke","Buskerud",NA,"KSP","Kristent Samlingsparti",0,0
2013,"st","fylke","Buskerud",NA,"KYST","Kystpartiet",0,0
2013,"st","fylke","Buskerud",NA,"MDG","Miljøpartiet De Grønne",0,0
2013,"st","fylke","Buskerud",NA,"PIR","Piratpartiet",0,0
2013,"st","fylke","Buskerud",NA,"SFP","Samfunnspartiet",0,0
2013,"st","fylke","Buskerud",NA,"BLANKE","Blanke",0,0
2013,"st","fylke","Buskerud",NA,"Andre","Andre",0,0
2013,"st","fylke","Buskerud",NA,"Andre2","Andre2",0,0
2013,"st","fylke","Vestfold",NA,"A","Arbeiderpartiet",2,-1
2013,"st","fylke","Vestfold",NA,"SV","Sosialistisk Venstreparti",0,-1
2013,"st","fylke","Vestfold",NA,"RØDT","Rødt",0,0
2013,"st","fylke","Vestfold",NA,"SP","Senterpartiet",0,0
2013,"st","fylke","Vestfold",NA,"KRF","Kristelig Folkeparti",1,1
2013,"st","fylke","Vestfold",NA,"V","Venstre",0,0
2013,"st","fylke","Vestfold",NA,"H","Høyre",2,1
