"knr 2024","Kommune 2024","Indeks 2023","Klasse 2023","Intervall"
"0301","Oslo",1000,1,"925-1000"
"1101","Eigersund",747,4,"670-774"
"1103","Stavanger",890,2,"870-924"
"1106","Haugesund",836,3,"775-869"
"1108","Sandnes",882,2,"870-924"
"1111","Sokndal",652,5,"565-669"
"1112","Lund",625,5,"565-669"
"1114","Bjerkreim",687,4,"670-774"
"1119","Hå",773,4,"670-774"
"1120","Klepp",851,3,"775-869"
"1121","Time",836,3,"775-869"
"1122","Gjesdal",792,3,"775-869"
"1124","Sola",878,2,"870-924"
"1127","Randaberg",867,3,"775-869"
"1130","Strand",787,3,"775-869"
"1133","Hjelmeland",593,5,"565-669"
"1134","Suldal",518,6,"0-564"
"1135","Sauda",604,5,"565-669"
"1144","Kvitsøy",525,6,"0-564"
"1145","Bokn",624,5,"565-669"
"1146","Tysvær",724,4,"670-774"
"1149","Karmøy",758,4,"670-774"
"1151","Utsira",293,6,"0-564"
"1160","Vindafjord",643,5,"565-669"
"1505","Kristiansund",749,4,"670-774"
"1506","Molde",740,4,"670-774"
"1508","Ålesund",800,3,"775-869"
"1511","Vanylven",535,6,"0-564"
"1514","Sande",560,6,"0-564"
"1515","Herøy (Møre og Romsdal)",664,5,"565-669"
"1516","Ulstein",719,4,"670-774"
"1517","Hareid",683,4,"670-774"
"1520","Ørsta",718,4,"670-774"
"1525","Stranda",628,5,"565-669"
"1528","Sykkylven",695,4,"670-774"
"1531","Sula",737,4,"670-774"
"1532","Giske",714,4,"670-774"
"1535","Vestnes",644,5,"565-669"
"1539","Rauma",627,5,"565-669"
"1547","Aukra",616,5,"565-669"
"1554","Averøy",611,5,"565-669"
"1557","Gjemnes",576,5,"565-669"
"1560","Tingvoll",568,5,"565-669"
"1563","Sunndal",640,5,"565-669"
"1566","Surnadal",607,5,"565-669"
"1573","Smøla",445,6,"0-564"
"1576","Aure",501,6,"0-564"
"1577","Volda",705,4,"670-774"
"1578","Fjord",564,6,"0-564"
"1579","Hustadvika",651,5,"565-669"
"1580","Haram",625,5,"565-669"
"1804","Bodø",793,3,"775-869"
"1806","Narvik",686,4,"670-774"
"1811","Bindal",426,6,"0-564"
"1812","Sømna",505,6,"0-564"
"1813","Brønnøy",613,5,"565-669"
"1815","Vega",400,6,"0-564"
"1816","Vevelstad",373,6,"0-564"
"1818","Herøy (Nordland)",480,6,"0-564"
"1820","Alstahaug",653,5,"565-669"
"1822","Leirfjord",559,6,"0-564"
"1824","Vefsn",686,4,"670-774"
"1825","Grane",494,6,"0-564"
"1826","Hattfjelldal",453,6,"0-564"
"1827","Dønna",429,6,"0-564"
"1828","Nesna",494,6,"0-564"
"1832","Hemnes",567,5,"565-669"
"1833","Rana",713,4,"670-774"
"1834","Lurøy",362,6,"0-564"
"1835","Træna",323,6,"0-564"
"1836","Rødøy",338,6,"0-564"
"1837","Meløy",488,6,"0-564"
"1838","Gildeskål",478,6,"0-564"
"1839","Beiarn",448,6,"0-564"
"1840","Saltdal",603,5,"565-669"
"1841","Fauske - Fuosko",679,4,"670-774"
"1845","Sørfold",547,6,"0-564"
"1848","Steigen",403,6,"0-564"
"1851","Lødingen",537,6,"0-564"
"1853","Evenes - Evenássi",528,6,"0-564"
"1856","Røst",366,6,"0-564"
"1857","Værøy",370,6,"0-564"
"1859","Flakstad",522,6,"0-564"
"1860","Vestvågøy",631,5,"565-669"
"1865","Vågan",650,5,"565-669"
"1866","Hadsel",605,5,"565-669"
"1867","Bø",497,6,"0-564"
"1868","Øksnes",584,5,"565-669"
"1870","Sortland - Suortá",670,4,"670-774"
"1871","Andøy",517,6,"0-564"
"1874","Moskenes",442,6,"0-564"
"1875","Hamarøy",405,6,"0-564"
"3101","Halden",842,3,"775-869"
"3103","Moss",900,2,"870-924"
"3105","Sarpsborg",877,2,"870-924"
"3107","Fredrikstad",870,2,"870-924"
"3110","Hvaler",723,4,"670-774"
"3112","Råde",836,3,"775-869"
"3114","Våler (Viken)",824,3,"775-869"
"3116","Skiptvet",792,3,"775-869"
"3118","Indre Østfold",858,3,"775-869"
"3120","Rakkestad",785,3,"775-869"
"3122","Marker",732,4,"670-774"
"3124","Aremark",662,5,"565-669"
"3201","Bærum",966,1,"925-1000"
"3203","Asker",910,2,"870-924"
"3205","Lillestrøm",940,1,"925-1000"
"3207","Nordre Follo",923,2,"870-924"
"3209","Ullensaker",920,2,"870-924"
"3212","Nesodden",850,3,"775-869"
"3214","Frogn",891,2,"870-924"
"3216","Vestby",877,2,"870-924"
"3218","Ås",895,2,"870-924"
"3220","Enebakk",827,3,"775-869"
"3222","Lørenskog",978,1,"925-1000"
"3224","Rælingen",948,1,"925-1000"
"3226","Aurskog-Høland",797,3,"775-869"
"3228","Nes",826,3,"775-869"
"3230","Gjerdrum",880,2,"870-924"
"3232","Nittedal",886,2,"870-924"
"3234","Lunner",785,3,"775-869"
"3236","Jevnaker",793,3,"775-869"
"3238","Nannestad",834,3,"775-869"
"3240","Eidsvoll",851,3,"775-869"
"3242","Hurdal",736,4,"670-774"
"3301","Drammen",912,2,"870-924"
"3303","Kongsberg",848,3,"775-869"
"3305","Ringerike",838,3,"775-869"
"3310","Hole",832,3,"775-869"
"3312","Lier",887,2,"870-924"
"3314","Øvre Eiker",848,3,"775-869"
"3316","Modum",812,3,"775-869"
"3318","Krødsherad",656,5,"565-669"
"3320","Flå",617,5,"565-669"
"3322","Nesbyen",640,5,"565-669"
"3324","Gol",683,4,"670-774"
"3326","Hemsedal",625,5,"565-669"
"3328","Ål",635,5,"565-669"
"3330","Hol",629,5,"565-669"
"3332","Sigdal",663,5,"565-669"
"3334","Flesberg",688,4,"670-774"
"3336","Rollag",578,5,"565-669"
"3338","Nore og Uvdal",530,6,"0-564"
"3401","Kongsvinger",792,3,"775-869"
"3403","Hamar",873,2,"870-924"
"3405","Lillehammer",818,3,"775-869"
"3407","Gjøvik",805,3,"775-869"
"3411","Ringsaker",797,3,"775-869"
"3412","Løten",790,3,"775-869"
"3413","Stange",820,3,"775-869"
"3414","Nord-Odal",708,4,"670-774"
"3415","Sør-Odal",777,3,"775-869"
"3416","Eidskog",691,4,"670-774"
"3417","Grue",662,5,"565-669"
"3418","Åsnes",665,5,"565-669"
"3419","Våler (Innlandet)",669,5,"565-669"
"3420","Elverum",787,3,"775-869"
"3421","Trysil",604,5,"565-669"
"3422","Åmot",638,5,"565-669"
"3423","Stor-Elvdal",538,6,"0-564"
"3424","Rendalen",486,6,"0-564"
"3425","Engerdal",421,6,"0-564"
"3426","Tolga",567,5,"565-669"
"3427","Tynset",647,5,"565-669"
"3428","Alvdal",573,5,"565-669"
"3429","Folldal",492,6,"0-564"
"3430","Os",551,6,"0-564"
"3431","Dovre",563,6,"0-564"
"3432","Lesja",520,6,"0-564"
"3433","Skjåk",550,6,"0-564"
"3434","Lom",547,6,"0-564"
"3435","Vågå",610,5,"565-669"
"3436","Nord-Fron",629,5,"565-669"
"3437","Sel",627,5,"565-669"
"3438","Sør-Fron",615,5,"565-669"
"3439","Ringebu",647,5,"565-669"
"3440","Øyer",698,4,"670-774"
"3441","Gausdal",673,4,"670-774"
"3442","Østre Toten",747,4,"670-774"
"3443","Vestre Toten",789,3,"775-869"
"3446","Gran",801,3,"775-869"
"3447","Søndre Land",692,4,"670-774"
"3448","Nordre Land",695,4,"670-774"
"3449","Sør-Aurdal",581,5,"565-669"
"3450","Etnedal",587,5,"565-669"
"3451","Nord-Aurdal",686,4,"670-774"
"3452","Vestre Slidre",583,5,"565-669"
"3453","Øystre Slidre",602,5,"565-669"
"3454","Vang",541,6,"0-564"
"3901","Horten",874,2,"870-924"
"3903","Holmestrand",837,3,"775-869"
"3905","Tønsberg",879,2,"870-924"
"3907","Sandefjord",861,3,"775-869"
"3909","Larvik",842,3,"775-869"
"3911","Færder",846,3,"775-869"
"4001","Porsgrunn",855,3,"775-869"
"4003","Skien",849,3,"775-869"
"4005","Notodden",774,4,"670-774"
"4010","Siljan",739,4,"670-774"
"4012","Bamble",786,3,"775-869"
"4014","Kragerø",755,4,"670-774"
"4016","Drangedal",645,5,"565-669"
"4018","Nome",709,4,"670-774"
"4020","Midt-Telemark",731,4,"670-774"
"4022","Seljord",650,5,"565-669"
"4024","Hjartdal",599,5,"565-669"
"4026","Tinn",595,5,"565-669"
"4028","Kviteseid",601,5,"565-669"
"4030","Nissedal",543,6,"0-564"
"4032","Fyresdal",491,6,"0-564"
"4034","Tokke",533,6,"0-564"
"4036","Vinje",550,6,"0-564"
"4201","Risør",709,4,"670-774"
"4202","Grimstad",809,3,"775-869"
"4203","Arendal",805,3,"775-869"
"4204","Kristiansand",832,3,"775-869"
"4205","Lindesnes",733,4,"670-774"
"4206","Farsund",686,4,"670-774"
"4207","Flekkefjord",689,4,"670-774"
"4211","Gjerstad",661,5,"565-669"
"4212","Vegårshei",653,5,"565-669"
"4213","Tvedestrand",729,4,"670-774"
"4214","Froland",726,4,"670-774"
"4215","Lillesand",788,3,"775-869"
"4216","Birkenes",705,4,"670-774"
"4217","Åmli",591,5,"565-669"
"4218","Iveland",624,5,"565-669"
"4219","Evje og Hornnes",691,4,"670-774"
"4220","Bygland",551,6,"0-564"
"4221","Valle",466,6,"0-564"
"4222","Bykle",467,6,"0-564"
"4223","Vennesla",775,3,"775-869"
"4224","Åseral",536,6,"0-564"
"4225","Lyngdal",695,4,"670-774"
"4226","Hægebostad",575,5,"565-669"
"4227","Kvinesdal",650,5,"565-669"
"4228","Sirdal",575,5,"565-669"
"4601","Bergen",895,2,"870-924"
"4602","Kinn",663,5,"565-669"
"4611","Etne",604,5,"565-669"
"4612","Sveio",673,4,"670-774"
"4613","Bømlo",644,5,"565-669"
"4614","Stord",746,4,"670-774"
"4615","Fitjar",603,5,"565-669"
"4616","Tysnes",578,5,"565-669"
"4617","Kvinnherad",587,5,"565-669"
"4618","Ullensvang",583,5,"565-669"
"4619","Eidfjord",531,6,"0-564"
"4620","Ulvik",529,6,"0-564"
"4621","Voss",720,4,"670-774"
"4622","Kvam",674,4,"670-774"
"4623","Samnanger",683,4,"670-774"
"4624","Bjørnafjorden",766,4,"670-774"
"4625","Austevoll",598,5,"565-669"
"4626","Øygarden",769,4,"670-774"
"4627","Askøy",810,3,"775-869"
"4628","Vaksdal",644,5,"565-669"
"4629","Modalen",530,6,"0-564"
"4630","Osterøy",717,4,"670-774"
"4631","Alver",731,4,"670-774"
"4632","Austrheim",641,5,"565-669"
"4633","Fedje",436,6,"0-564"
"4634","Masfjorden",552,6,"0-564"
"4635","Gulen",483,6,"0-564"
"4636","Solund",350,6,"0-564"
"4637","Hyllestad",481,6,"0-564"
"4638","Høyanger",547,6,"0-564"
"4639","Vik",532,6,"0-564"
"4640","Sogndal",659,5,"565-669"
"4641","Aurland",528,6,"0-564"
"4642","Lærdal",570,5,"565-669"
"4643","Årdal",592,5,"565-669"
"4644","Luster",567,5,"565-669"
"4645","Askvoll",504,6,"0-564"
"4646","Fjaler",562,6,"0-564"
"4647","Sunnfjord",667,5,"565-669"
"4648","Bremanger",476,6,"0-564"
"4649","Stad",607,5,"565-669"
"4650","Gloppen",617,5,"565-669"
"4651","Stryn",603,5,"565-669"
"5001","Trondheim",885,2,"870-924"
"5006","Steinkjer",721,4,"670-774"
"5007","Namsos",690,4,"670-774"
"5014","Frøya",531,6,"0-564"
"5020","Osen",459,6,"0-564"
"5021","Oppdal",666,5,"565-669"
"5022","Rennebu",602,5,"565-669"
"5025","Røros",644,5,"565-669"
"5026","Holtålen",524,6,"0-564"
"5027","Midtre Gauldal",657,5,"565-669"
"5028","Melhus",776,3,"775-869"
"5029","Skaun",746,4,"670-774"
"5031","Malvik",807,3,"775-869"
"5032","Selbu",643,5,"565-669"
"5033","Tydal",519,6,"0-564"
"5034","Meråker",626,5,"565-669"
"5035","Stjørdal",802,3,"775-869"
"5036","Frosta",657,5,"565-669"
"5037","Levanger",752,4,"670-774"
"5038","Verdal",747,4,"670-774"
"5041","Snåase - Snåsa",561,6,"0-564"
"5042","Lierne",398,6,"0-564"
"5043","Raarvihke - Røyrvik",389,6,"0-564"
"5044","Namsskogan",427,6,"0-564"
"5045","Grong",593,5,"565-669"
"5046","Høylandet",525,6,"0-564"
"5047","Overhalla",611,5,"565-669"
"5049","Flatanger",475,6,"0-564"
"5052","Leka",386,6,"0-564"
"5053","Inderøy",670,4,"670-774"
"5054","Indre Fosen",621,5,"565-669"
"5055","Heim",588,5,"565-669"
"5056","Hitra",551,6,"0-564"
"5057","Ørland",603,5,"565-669"
"5058","Åfjord",512,6,"0-564"
"5059","Orkland",728,4,"670-774"
"5060","Nærøysund",581,5,"565-669"
"5061","Rindal",607,5,"565-669"
"5501","Tromsø",803,3,"775-869"
"5503","Harstad",738,4,"670-774"
"5510","Kvæfjord",587,5,"565-669"
"5512","Tjeldsund",542,6,"0-564"
"5514","Ibestad",447,6,"0-564"
"5516","Gratangen",509,6,"0-564"
"5518","Loabák - Lavangen",517,6,"0-564"
"5520","Bardu",597,5,"565-669"
"5522","Salangen",552,6,"0-564"
"5524","Målselv",576,5,"565-669"
"5526","Sørreisa",610,5,"565-669"
"5528","Dyrøy",496,6,"0-564"
"5530","Senja",611,5,"565-669"
"5532","Balsfjord",557,6,"0-564"
"5534","Karlsøy",452,6,"0-564"
"5536","Lyngen",486,6,"0-564"
"5538","Storfjord - Omasvuotna - Omasvuono",516,6,"0-564"
"5540","Gáivuotna - Kåfjord - Kaivuono",431,6,"0-564"
"5542","Skjervøy",556,6,"0-564"
"5544","Nordreisa",570,5,"565-669"
"5546","Kvænangen",438,6,"0-564"
"5601","Alta",713,4,"670-774"
"5603","Hammerfest",682,4,"670-774"
"5605","Sør-Varanger",634,5,"565-669"
"5607","Vadsø",641,5,"565-669"
"5610","Kárásjohka - Karasjok",554,6,"0-564"
"5612","Guovdageaidnu - Kautokeino",495,6,"0-564"
"5614","Loppa",351,6,"0-564"
"5616","Hasvik",351,6,"0-564"
"5618","Måsøy",397,6,"0-564"
"5620","Nordkapp",525,6,"0-564"
"5622","Porsanger - Porsángu - Porsanki ",543,6,"0-564"
"5624","Lebesby",430,6,"0-564"
"5626","Gamvik",407,6,"0-564"
"5628","Deatnu - Tana",490,6,"0-564"
"5630","Berlevåg",426,6,"0-564"
"5632","Båtsfjord",538,6,"0-564"
"5634","Vardø",515,6,"0-564"
"5636","Unjárga - Nesseby",476,6,"0-564"
