"aar","valgtype","fylke_navn","kommune_navn","valgkrets_navn","valgkrets_nr","parti_kode","parti_navn","parti_kategori","stemmer_prosent","stemmer_antall","stemmer_fhs"
2013,"st","Østfold","Halden","Halden",101,"A","Arbeiderpartiet",1,36.59529,6118,868
2013,"st","Østfold","Halden","Halden",101,"SV","Sosialistisk Venstreparti",1,2.39263,400,55
2013,"st","Østfold","Halden","Halden",101,"RØDT","Rødt",1,0.79555,133,31
2013,"st","Østfold","Halden","Halden",101,"SP","Senterpartiet",1,3.74447,626,70
2013,"st","Østfold","Halden","Halden",101,"KRF","Kristelig Folkeparti",1,6.26271,1047,172
2013,"st","Østfold","Halden","Halden",101,"V","Venstre",1,4.44431,743,127
2013,"st","Østfold","Halden","Halden",101,"H","Høyre",1,23.37002,3907,708
2013,"st","Østfold","Halden","Halden",101,"FRP","Fremskrittspartiet",1,17.66958,2954,472
2013,"st","Østfold","Halden","Halden",101,"DEMN","Demokratene i Norge",2,0.05982,10,0
2013,"st","Østfold","Halden","Halden",101,"KRISTNE","De Kristne",2,0.85537,143,37
2013,"st","Østfold","Halden","Halden",101,"KSP","Kristent Samlingsparti",2,0.17347,29,5
2013,"st","Østfold","Halden","Halden",101,"KYST","Kystpartiet",2,0.04187,7,1
2013,"st","Østfold","Halden","Halden",101,"MDG","Miljøpartiet De Grønne",2,2.48834,416,72
2013,"st","Østfold","Halden","Halden",101,"PIR","Piratpartiet",2,0.49049,82,10
2013,"st","Østfold","Halden","Halden",101,"PP","Pensjonistpartiet",2,0.6161,103,27
2013,"st","Østfold","Halden","Halden",101,"BLANKE","Blanke",3,0.64003,107,10
2013,"st","Østfold","Halden","Halden",101,"Andre","Andre",0,4.72545,790,152
2013,"st","Østfold","Halden","Halden",101,"Andre2","Andre2",0,0,0,0
2013,"st","Østfold","Moss","Moss",104,"A","Arbeiderpartiet",1,35.52365,6136,1232
2013,"st","Østfold","Moss","Moss",104,"SV","Sosialistisk Venstreparti",1,3.68784,637,155
2013,"st","Østfold","Moss","Moss",104,"RØDT","Rødt",1,1.55155,268,67
2013,"st","Østfold","Moss","Moss",104,"SP","Senterpartiet",1,0.67157,116,20
2013,"st","Østfold","Moss","Moss",104,"KRF","Kristelig Folkeparti",1,3.31153,572,123
2013,"st","Østfold","Moss","Moss",104,"V","Venstre",1,4.49256,776,139
2013,"st","Østfold","Moss","Moss",104,"H","Høyre",1,28.03219,4842,1088
2013,"st","Østfold","Moss","Moss",104,"FRP","Fremskrittspartiet",1,18.76339,3241,730
2013,"st","Østfold","Moss","Moss",104,"DEMN","Demokratene i Norge",2,0.04632,8,3
2013,"st","Østfold","Moss","Moss",104,"KRISTNE","De Kristne",2,0.29526,51,17
2013,"st","Østfold","Moss","Moss",104,"KSP","Kristent Samlingsparti",2,0.04632,8,2
2013,"st","Østfold","Moss","Moss",104,"KYST","Kystpartiet",2,0.02895,5,2
2013,"st","Østfold","Moss","Moss",104,"MDG","Miljøpartiet De Grønne",2,2.81943,487,105
2013,"st","Østfold","Moss","Moss",104,"PIR","Piratpartiet",2,0.39368,68,10
2013,"st","Østfold","Moss","Moss",104,"PP","Pensjonistpartiet",2,0.33578,58,28
2013,"st","Østfold","Moss","Moss",104,"BLANKE","Blanke",3,0.52683,91,18
2013,"st","Østfold","Moss","Moss",104,"Andre","Andre",0,3.96573,685,167
2013,"st","Østfold","Moss","Moss",104,"Andre2","Andre2",0,0,0,0
2013,"st","Østfold","Sarpsborg","Sarpsborg",105,"A","Arbeiderpartiet",1,39.43967,11473,2206
2013,"st","Østfold","Sarpsborg","Sarpsborg",105,"SV","Sosialistisk Venstreparti",1,1.71537,499,110
2013,"st","Østfold","Sarpsborg","Sarpsborg",105,"RØDT","Rødt",1,0.52252,152,41
2013,"st","Østfold","Sarpsborg","Sarpsborg",105,"SP","Senterpartiet",1,2.84634,828,120
2013,"st","Østfold","Sarpsborg","Sarpsborg",105,"KRF","Kristelig Folkeparti",1,5.33173,1551,310
2013,"st","Østfold","Sarpsborg","Sarpsborg",105,"V","Venstre",1,2.84978,829,168
2013,"st","Østfold","Sarpsborg","Sarpsborg",105,"H","Høyre",1,22.88759,6658,1375
2013,"st","Østfold","Sarpsborg","Sarpsborg",105,"FRP","Fremskrittspartiet",1,20.3197,5911,1167
2013,"st","Østfold","Sarpsborg","Sarpsborg",105,"DEMN","Demokratene i Norge",2,0.09282,27,13
2013,"st","Østfold","Sarpsborg","Sarpsborg",105,"KRISTNE","De Kristne",2,1.16535,339,92
2013,"st","Østfold","Sarpsborg","Sarpsborg",105,"KSP","Kristent Samlingsparti",2,0.11344,33,5
2013,"st","Østfold","Sarpsborg","Sarpsborg",105,"KYST","Kystpartiet",2,0.03781,11,2
2013,"st","Østfold","Sarpsborg","Sarpsborg",105,"MDG","Miljøpartiet De Grønne",2,1.39911,407,114
2013,"st","Østfold","Sarpsborg","Sarpsborg",105,"PIR","Piratpartiet",2,0.31626,92,10
2013,"st","Østfold","Sarpsborg","Sarpsborg",105,"PP","Pensjonistpartiet",2,0.96253,280,84
2013,"st","Østfold","Sarpsborg","Sarpsborg",105,"BLANKE","Blanke",3,0.59127,172,26
2013,"st","Østfold","Sarpsborg","Sarpsborg",105,"Andre","Andre",0,4.08732,1189,320
2013,"st","Østfold","Sarpsborg","Sarpsborg",105,"Andre2","Andre2",0,0,0,0
2013,"st","Østfold","Fredrikstad","Fredrikstad",106,"A","Arbeiderpartiet",1,37.57303,16141,6605
