"region","nivå","kjønn","statistikkvariabel","år","antall"
"Hele landet","Utdanningsnivå i alt","Begge kjønn","Personer 16 år og over","2021",4448313
"Hele landet","Utdanningsnivå i alt","Begge kjønn","Personer 16 år og over (prosent)","2021",100
"Hele landet","Videregående skolenivå","Begge kjønn","Personer 16 år og over","2021",1624640
"Hele landet","Videregående skolenivå","Begge kjønn","Personer 16 år og over (prosent)","2021",36.7
"Hele landet","Universitets- og høgskolenivå, kort","Begge kjønn","Personer 16 år og over","2021",1105260
"Hele landet","Universitets- og høgskolenivå, kort","Begge kjønn","Personer 16 år og over (prosent)","2021",25
"Hele landet","Universitets- og høgskolenivå, lang","Begge kjønn","Personer 16 år og over","2021",486113
"Hele landet","Universitets- og høgskolenivå, lang","Begge kjønn","Personer 16 år og over (prosent)","2021",11
"Østfold","Utdanningsnivå i alt","Begge kjønn","Personer 16 år og over","2021",0
"Østfold","Utdanningsnivå i alt","Begge kjønn","Personer 16 år og over (prosent)","2021",0
"Østfold","Videregående skolenivå","Begge kjønn","Personer 16 år og over","2021",0
"Østfold","Videregående skolenivå","Begge kjønn","Personer 16 år og over (prosent)","2021",0
"Østfold","Universitets- og høgskolenivå, kort","Begge kjønn","Personer 16 år og over","2021",0
"Østfold","Universitets- og høgskolenivå, kort","Begge kjønn","Personer 16 år og over (prosent)","2021",0
"Østfold","Universitets- og høgskolenivå, lang","Begge kjønn","Personer 16 år og over","2021",0
"Østfold","Universitets- og høgskolenivå, lang","Begge kjønn","Personer 16 år og over (prosent)","2021",0
"Halden","Utdanningsnivå i alt","Begge kjønn","Personer 16 år og over","2021",0
"Halden","Utdanningsnivå i alt","Begge kjønn","Personer 16 år og over (prosent)","2021",0
"Halden","Videregående skolenivå","Begge kjønn","Personer 16 år og over","2021",0
"Halden","Videregående skolenivå","Begge kjønn","Personer 16 år og over (prosent)","2021",0
"Halden","Universitets- og høgskolenivå, kort","Begge kjønn","Personer 16 år og over","2021",0
"Halden","Universitets- og høgskolenivå, kort","Begge kjønn","Personer 16 år og over (prosent)","2021",0
"Halden","Universitets- og høgskolenivå, lang","Begge kjønn","Personer 16 år og over","2021",0
"Halden","Universitets- og høgskolenivå, lang","Begge kjønn","Personer 16 år og over (prosent)","2021",0
"Moss","Utdanningsnivå i alt","Begge kjønn","Personer 16 år og over","2021",0
"Moss","Utdanningsnivå i alt","Begge kjønn","Personer 16 år og over (prosent)","2021",0
"Moss","Videregående skolenivå","Begge kjønn","Personer 16 år og over","2021",0
"Moss","Videregående skolenivå","Begge kjønn","Personer 16 år og over (prosent)","2021",0
"Moss","Universitets- og høgskolenivå, kort","Begge kjønn","Personer 16 år og over","2021",0
"Moss","Universitets- og høgskolenivå, kort","Begge kjønn","Personer 16 år og over (prosent)","2021",0
"Moss","Universitets- og høgskolenivå, lang","Begge kjønn","Personer 16 år og over","2021",0
"Moss","Universitets- og høgskolenivå, lang","Begge kjønn","Personer 16 år og over (prosent)","2021",0
"Sarpsborg","Utdanningsnivå i alt","Begge kjønn","Personer 16 år og over","2021",0
"Sarpsborg","Utdanningsnivå i alt","Begge kjønn","Personer 16 år og over (prosent)","2021",0
"Sarpsborg","Videregående skolenivå","Begge kjønn","Personer 16 år og over","2021",0
"Sarpsborg","Videregående skolenivå","Begge kjønn","Personer 16 år og over (prosent)","2021",0
"Sarpsborg","Universitets- og høgskolenivå, kort","Begge kjønn","Personer 16 år og over","2021",0
"Sarpsborg","Universitets- og høgskolenivå, kort","Begge kjønn","Personer 16 år og over (prosent)","2021",0
"Sarpsborg","Universitets- og høgskolenivå, lang","Begge kjønn","Personer 16 år og over","2021",0
"Sarpsborg","Universitets- og høgskolenivå, lang","Begge kjønn","Personer 16 år og over (prosent)","2021",0
"Fredrikstad","Utdanningsnivå i alt","Begge kjønn","Personer 16 år og over","2021",0
"Fredrikstad","Utdanningsnivå i alt","Begge kjønn","Personer 16 år og over (prosent)","2021",0
"Fredrikstad","Videregående skolenivå","Begge kjønn","Personer 16 år og over","2021",0
"Fredrikstad","Videregående skolenivå","Begge kjønn","Personer 16 år og over (prosent)","2021",0
"Fredrikstad","Universitets- og høgskolenivå, kort","Begge kjønn","Personer 16 år og over","2021",0
"Fredrikstad","Universitets- og høgskolenivå, kort","Begge kjønn","Personer 16 år og over (prosent)","2021",0
"Fredrikstad","Universitets- og høgskolenivå, lang","Begge kjønn","Personer 16 år og over","2021",0
"Fredrikstad","Universitets- og høgskolenivå, lang","Begge kjønn","Personer 16 år og over (prosent)","2021",0
"Hvaler","Utdanningsnivå i alt","Begge kjønn","Personer 16 år og over","2021",0
"Hvaler","Utdanningsnivå i alt","Begge kjønn","Personer 16 år og over (prosent)","2021",0
"Hvaler","Videregående skolenivå","Begge kjønn","Personer 16 år og over","2021",0
"Hvaler","Videregående skolenivå","Begge kjønn","Personer 16 år og over (prosent)","2021",0
"Hvaler","Universitets- og høgskolenivå, kort","Begge kjønn","Personer 16 år og over","2021",0
"Hvaler","Universitets- og høgskolenivå, kort","Begge kjønn","Personer 16 år og over (prosent)","2021",0
"Hvaler","Universitets- og høgskolenivå, lang","Begge kjønn","Personer 16 år og over","2021",0
"Hvaler","Universitets- og høgskolenivå, lang","Begge kjønn","Personer 16 år og over (prosent)","2021",0
"Råde","Utdanningsnivå i alt","Begge kjønn","Personer 16 år og over","2021",0
"Råde","Utdanningsnivå i alt","Begge kjønn","Personer 16 år og over (prosent)","2021",0
"Råde","Videregående skolenivå","Begge kjønn","Personer 16 år og over","2021",0
"Råde","Videregående skolenivå","Begge kjønn","Personer 16 år og over (prosent)","2021",0
"Råde","Universitets- og høgskolenivå, kort","Begge kjønn","Personer 16 år og over","2021",0
"Råde","Universitets- og høgskolenivå, kort","Begge kjønn","Personer 16 år og over (prosent)","2021",0
"Råde","Universitets- og høgskolenivå, lang","Begge kjønn","Personer 16 år og over","2021",0
"Råde","Universitets- og høgskolenivå, lang","Begge kjønn","Personer 16 år og over (prosent)","2021",0
"Våler (Østfold)","Utdanningsnivå i alt","Begge kjønn","Personer 16 år og over","2021",0
"Våler (Østfold)","Utdanningsnivå i alt","Begge kjønn","Personer 16 år og over (prosent)","2021",0
"Våler (Østfold)","Videregående skolenivå","Begge kjønn","Personer 16 år og over","2021",0
"Våler (Østfold)","Videregående skolenivå","Begge kjønn","Personer 16 år og over (prosent)","2021",0
"Våler (Østfold)","Universitets- og høgskolenivå, kort","Begge kjønn","Personer 16 år og over","2021",0
